# owner	field	kind	target
CAbil	DataCollection	link	CDataCollectionLink
CAbil	OrderArray	struct	SAbilOrderDisplay
CAbil	StateBehavior	link	CBehaviorLink
CAbilArmMagazine	Alert	link	CAlertLink
CAbilArmMagazine	CalldownEffect	link	CEffectLink
CAbilArmMagazine	DataCollection	link	CDataCollectionLink
CAbilArmMagazine	EffectArray	link	CEffectLink
CAbilArmMagazine	ErrorAlert	link	CAlertLink
CAbilArmMagazine	InfoArray	struct	SAbilArmMagazineInfo
CAbilArmMagazine	OrderArray	struct	SAbilOrderDisplay
CAbilArmMagazine	RefundFraction	struct	SCostFactor
CAbilArmMagazine	StateBehavior	link	CBehaviorLink
CAbilAttack	CmdButtonArray	struct	SAbilCmdButton
CAbilAttack	DataCollection	link	CDataCollectionLink
CAbilAttack	OrderArray	struct	SAbilOrderDisplay
CAbilAttack	StateBehavior	link	CBehaviorLink
CAbilAttack	TargetCursorInfo	struct	SAbilTargetCursorInfo
CAbilAttackModifier	AttackModifierBehavior	link	CBehaviorLink
CAbilAttackModifier	AutoCastValidatorArray	link	CValidatorLink
CAbilAttackModifier	CmdButtonArray	struct	SAbilCmdButton
CAbilAttackModifier	Cost	struct	SCost
CAbilAttackModifier	DataCollection	link	CDataCollectionLink
CAbilAttackModifier	OrderArray	struct	SAbilOrderDisplay
CAbilAttackModifier	SmartValidatorArray	link	CValidatorLink
CAbilAttackModifier	StateBehavior	link	CBehaviorLink
CAbilAugment	AutoCastValidatorArray	link	CValidatorLink
CAbilAugment	CmdButtonArray	struct	SAbilCmdButton
CAbilAugment	Cost	struct	SCost
CAbilAugment	DataCollection	link	CDataCollectionLink
CAbilAugment	Effect	link	CEffectLink
CAbilAugment	OrderArray	struct	SAbilOrderDisplay
CAbilAugment	SmartValidatorArray	link	CValidatorLink
CAbilAugment	StateBehavior	link	CBehaviorLink
CAbilBattery	AutoCastValidatorArray	link	CValidatorLink
CAbilBattery	CmdButtonArray	struct	SAbilCmdButton
CAbilBattery	DataCollection	link	CDataCollectionLink
CAbilBattery	Effect	link	CEffectLink
CAbilBattery	OrderArray	struct	SAbilOrderDisplay
CAbilBattery	StateBehavior	link	CBehaviorLink
CAbilBeacon	CmdButtonArray	struct	SAbilCmdButton
CAbilBeacon	DataCollection	link	CDataCollectionLink
CAbilBeacon	OrderArray	struct	SAbilOrderDisplay
CAbilBeacon	StateBehavior	link	CBehaviorLink
CAbilBehavior	AutoCastToggleOffValidatorArray	link	CValidatorLink
CAbilBehavior	AutoCastToggleOnValidatorArray	link	CValidatorLink
CAbilBehavior	AutoCastValidatorArray	link	CValidatorLink
CAbilBehavior	CmdButtonArray	struct	SAbilCmdButton
CAbilBehavior	Cost	struct	SCost
CAbilBehavior	DataCollection	link	CDataCollectionLink
CAbilBehavior	ExpireCost	struct	SCost
CAbilBehavior	OffCost	struct	SCost
CAbilBehavior	OrderArray	struct	SAbilOrderDisplay
CAbilBehavior	StateBehavior	link	CBehaviorLink
CAbilBehavior	ValidatorArray	link	CValidatorLink
CAbilBuild	Alert	link	CAlertLink
CAbilBuild	BuildMorphAbil	link	CAbilLink
CAbilBuild	ConstructionMover	link	CMoverLink
CAbilBuild	DataCollection	link	CDataCollectionLink
CAbilBuild	EffectArray	link	CEffectLink
CAbilBuild	ErrorAlert	link	CAlertLink
CAbilBuild	HaltCmdButton	struct	SAbilCmdButton
CAbilBuild	InfoArray	struct	SAbilBuildInfo
CAbilBuild	OrderArray	struct	SAbilOrderDisplay
CAbilBuild	RefundFraction	struct	SCostFactor
CAbilBuild	StateBehavior	link	CBehaviorLink
CAbilBuild	UnlinkMorphAbil	link	CAbilLink
CAbilBuildable	CmdButtonArray	struct	SAbilCmdButton
CAbilBuildable	DataCollection	link	CDataCollectionLink
CAbilBuildable	OrderArray	struct	SAbilOrderDisplay
CAbilBuildable	StateBehavior	link	CBehaviorLink
CAbilEffect	AINotifyEffect	link	CEffectLink
CAbilEffect	AlertArray	link	CAlertLink
CAbilEffect	AutoCastValidatorArray	link	CValidatorLink
CAbilEffect	CalldownEffect	link	CEffectLink
CAbilEffect	CancelCost	struct	SCost
CAbilEffect	CancelEffect	link	CEffectLink
CAbilEffect	CastOutroTimeEffect	link	CEffectLink
CAbilEffect	Cost	struct	SCost
CAbilEffect	CursorEffect	link	CEffectLink
CAbilEffect	DataCollection	link	CDataCollectionLink
CAbilEffect	Effect	link	CEffectLink
CAbilEffect	ErrorAlert	link	CAlertLink
CAbilEffect	ExtraVitalCost	struct	SAccumulatedFixed
CAbilEffect	InterruptCost	struct	SCost
CAbilEffect	Marker	struct	SMarker
CAbilEffect	OrderArray	struct	SAbilOrderDisplay
CAbilEffect	Placeholder	link	CUnitLink
CAbilEffect	PostEffectBehavior	struct	SEffectBehavior
CAbilEffect	PreEffectBehavior	struct	SEffectBehavior
CAbilEffect	PrepEffect	link	CEffectLink
CAbilEffect	ProducedUnitArray	link	CUnitLink
CAbilEffect	ProgressButtonArray	link	CButtonLink
CAbilEffect	RefundFraction	struct	SCostFactor
CAbilEffect	SmartValidatorArray	link	CValidatorLink
CAbilEffect	StateBehavior	link	CBehaviorLink
CAbilEffect	TargetCursorInfo	struct	SAbilTargetCursorInfo
CAbilEffect	TargetSorts	struct	STargetSorts
CAbilEffectInstant	AINotifyEffect	link	CEffectLink
CAbilEffectInstant	AlertArray	link	CAlertLink
CAbilEffectInstant	AutoCastValidatorArray	link	CValidatorLink
CAbilEffectInstant	CalldownEffect	link	CEffectLink
CAbilEffectInstant	CancelCost	struct	SCost
CAbilEffectInstant	CancelEffect	link	CEffectLink
CAbilEffectInstant	CastOutroTimeEffect	link	CEffectLink
CAbilEffectInstant	CmdButtonArray	struct	SAbilCmdButton
CAbilEffectInstant	Cost	struct	SCost
CAbilEffectInstant	CursorEffect	link	CEffectLink
CAbilEffectInstant	DataCollection	link	CDataCollectionLink
CAbilEffectInstant	Effect	link	CEffectLink
CAbilEffectInstant	ErrorAlert	link	CAlertLink
CAbilEffectInstant	ExtraVitalCost	struct	SAccumulatedFixed
CAbilEffectInstant	InterruptCost	struct	SCost
CAbilEffectInstant	Marker	struct	SMarker
CAbilEffectInstant	OrderArray	struct	SAbilOrderDisplay
CAbilEffectInstant	Placeholder	link	CUnitLink
CAbilEffectInstant	PostEffectBehavior	struct	SEffectBehavior
CAbilEffectInstant	PreEffectBehavior	struct	SEffectBehavior
CAbilEffectInstant	PrepEffect	link	CEffectLink
CAbilEffectInstant	ProducedUnitArray	link	CUnitLink
CAbilEffectInstant	ProgressButtonArray	link	CButtonLink
CAbilEffectInstant	RefundFraction	struct	SCostFactor
CAbilEffectInstant	SmartValidatorArray	link	CValidatorLink
CAbilEffectInstant	StateBehavior	link	CBehaviorLink
CAbilEffectInstant	TargetCursorInfo	struct	SAbilTargetCursorInfo
CAbilEffectInstant	TargetSorts	struct	STargetSorts
CAbilEffectTarget	AINotifyEffect	link	CEffectLink
CAbilEffectTarget	AlertArray	link	CAlertLink
CAbilEffectTarget	AutoCastValidatorArray	link	CValidatorLink
CAbilEffectTarget	CalldownEffect	link	CEffectLink
CAbilEffectTarget	CancelCost	struct	SCost
CAbilEffectTarget	CancelEffect	link	CEffectLink
CAbilEffectTarget	CastOutroTimeEffect	link	CEffectLink
CAbilEffectTarget	CmdButtonArray	struct	SAbilCmdButton
CAbilEffectTarget	Cost	struct	SCost
CAbilEffectTarget	CursorEffect	link	CEffectLink
CAbilEffectTarget	DataCollection	link	CDataCollectionLink
CAbilEffectTarget	Effect	link	CEffectLink
CAbilEffectTarget	ErrorAlert	link	CAlertLink
